ID,Policy Start Date,Policy End Date,Gender,Age,First Transaction Date,No_Pol,Car_Category,Subject_Car_Colour,Subject_Car_Make,LGA_Name,State,ProductName,target
ID_09BCKQW,2010-07-24,2011-07-23,Male,39,2010-07-24,2,Saloon,Black,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0
ID_09ECI55,2010-02-01,2011-01-31,Female,32,2010-02-01,1,Saloon,Wine,TOYOTA,Surulere,Lagos,Car Classic,0
ID_09N5ZQL,2010-04-04,2011-04-03,Male,53,2010-04-04,2,Saloon,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Classic,0
ID_0AP9C8K,2010-10-23,2011-05-27,Female,37,2010-10-23,2,Saloon,Black,TOYOTA,Kaduna South,Kaduna-South,Car Classic,0
ID_0BNN4SR,2010-07-31,2011-07-30,Female,120,2010-07-31,1,Saloon,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_0CW58L7,2010-03-26,2011-03-25,Female,56,2010-03-26,1,JEEP,Black,Nissan,Lagos Mainland,Lagos,Car Classic,0
ID_0D03EM0,2010-03-02,2011-03-01,Female,44,2010-03-02,1,Saloon,Ash,TOYOTA,GBAGADA,Benue,Car Classic,0
ID_0DB63CB,2010-07-02,2011-07-01,Female,26,2010-07-02,1,JEEP,Black,Honda,Port Harcourt,Rivers,Car Classic,1
ID_0E0GIOO,2010-07-24,2011-01-15,Female,38,2010-07-24,1,JEEP,Wine,TOYOTA,Lekki,Lagos,Car Classic,0
ID_0EARV5X,2010-01-21,2011-01-20,Male,43,2010-01-21,1,Saloon,Green,Honda,Kosofe,Benue,Car Classic,0
ID_0EHKMTL,2010-09-04,2011-09-03,Male,50,2010-09-04,2,JEEP,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_0ELAKXI,2010-02-04,2011-02-03,Male,30,2010-02-04,2,Saloon,Black,Honda,Obia/Akpor,Obia-Akpor,Car Classic,1
ID_0EM6LSO,2010-03-26,2011-03-24,Female,65,2010-03-26,1,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0
ID_0FP7360,2010-12-09,2011-10-22,Male,46,2010-12-09,1,JEEP,Black,TOYOTA,Surulere,Lagos,Car Classic,0
ID_0GO0K5A,2010-01-10,2011-01-09,Male,51,2010-01-10,1,Saloon,Red,Hyundai,Central,Benue,Car Classic,0
ID_0GVDM31,2010-01-11,2011-01-10,Male,58,2010-01-11,3,Saloon,Silver,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_0H49SVS,2010-02-25,2011-02-24,Male,43,2010-02-25,1,Saloon,Brown,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,1
ID_0IGLH7L,2010-01-12,2011-01-11,Male,40,2010-01-12,1,Saloon,Gold,TOYOTA,Ebute-Metta,Lagos,Car Classic,0
ID_0ILENCN,2010-05-21,2011-05-20,Male,55,2010-05-21,3,JEEP,Black,TOYOTA,Victoria Island,Lagos,Customized Motor,0
ID_0IRFUYB,2010-06-06,2011-06-05,Female,37,2010-06-06,1,JEEP,Black,TOYOTA,Uyo,Akwa-Ibom,Car Classic,0
ID_0K1VPIE,2010-03-04,2011-03-03,Male,41,2010-03-04,1,Saloon,Blue,TOYOTA,Mushin,Lagos,Car Classic,0
ID_0KVEKCF,2010-09-09,2011-09-08,Female,34,2010-09-09,1,Saloon,Red,TOYOTA,Alimosho,Lagos,Car Classic,0
ID_0L4IT7F,2010-06-20,2011-06-19,Male,62,2010-06-20,2,JEEP,Black,Honda,Katagum,Benue,Car Classic,0
ID_0N2X552,2010-04-15,2011-01-03,Female,33,2010-04-15,1,Saloon,Green,Honda,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0
ID_0OH05TQ,2010-03-20,2011-03-19,Male,39,2010-03-20,1,JEEP,Wine,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_0QEKD0C,2010-06-06,2011-06-05,Male,42,2010-06-06,1,Saloon,Black,TOYOTA,Lekki,Lagos,Car Classic,0
ID_0QW3W1U,2010-12-13,2011-12-12,Male,49,2010-12-13,1,Saloon,Black,TOYOTA,Ibadan South West,Ibadan-West,Car Classic,0
ID_0R1RIW0,2010-06-18,2011-06-13,Male,52,2010-06-18,1,Saloon,Blue,TOYOTA,ISHERI,Benue,Car Classic,0
ID_0R8HDFR,2010-02-22,2011-02-21,Male,45,2010-02-22,2,Saloon,Green,TOYOTA,Festac,Benue,Car Classic,0
ID_0RP78NL,2010-05-13,2011-04-10,Female,60,2010-05-13,1,Saloon,As Attached,TOYOTA,IbadanCentral,Benue,Car Classic,0
ID_0STS32D,2010-10-29,2011-10-28,Male,67,2010-10-29,1,JEEP,Red,Kia,Zaria ,Kaduna,Car Classic,0
ID_0T0PQNR,2010-12-05,2011-12-04,Female,40,2010-12-05,4,Saloon,Black,Honda,Victoria Island,Lagos,Customized Motor,0
ID_0TCB8GJ,2010-10-11,2011-10-10,Female,41,2010-10-11,1,Saloon,Black,TOYOTA,Surulere,Lagos,Car Classic,0
ID_0U6YWUD,2010-05-28,2011-05-27,Male,61,2010-05-28,2,Saloon,As Attached,Kia,Surulere,Lagos,Car Classic,0
ID_0UM7DYC,2010-06-28,2011-03-26,Male,52,2010-06-28,1,JEEP,Black,Lexus,Lagos Island,Lagos,Car Classic,0
ID_0UM86EF,2010-06-26,2011-06-24,Female,64,2010-06-26,3,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Plus,0
ID_0UVUQ0H,2010-05-23,2011-05-22,Male,49,2010-05-23,3,JEEP,Black,Lexus,Lekki,Lagos,Car Classic,0
ID_0W3PCWB,2010-11-02,2011-11-01,Female,44,2010-11-02,1,JEEP,White,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_0W87WW9,2010-02-11,2011-02-10,Male,35,2010-02-11,1,Saloon,Silver,TOYOTA,Abeokuta,Ogun,Car Classic,1
ID_0X7JTGO,2010-11-04,2011-03-15,Male,46,2010-11-04,4,Saloon,Black,Mercedes,Victoria Island,Lagos,Customized Motor,0
ID_0YNY8IT,2010-01-14,2011-01-13,Entity,40,2010-01-14,4,Saloon,Black,Kia,Ibeju/Lekki,Ibeju-Lekki,Car Classic,1
ID_110V61M,2010-07-05,2011-07-02,Female,40,2010-07-05,1,JEEP,As Attached,ACURA,Kosofe,Benue,Car Classic,0
ID_1143H6E,2010-03-22,2011-03-21,Female,35,2010-03-22,1,JEEP,Black,TOYOTA,Shomolu,Benue,Car Classic,0
ID_11QQZG9,2010-06-11,2011-06-10,Male,28,2010-06-11,1,Saloon,Silver,TOYOTA,Agege,Lagos,Car Classic,1
ID_11Z226Z,2010-04-30,2011-02-10,Female,30,2010-04-30,1,Saloon,Gold,TOYOTA,Ikeja,Lagos,Car Plus,0
ID_134PY77,2010-10-18,2011-10-17,Female,34,2010-10-18,1,Saloon,Black,TOYOTA,Ido,Benue,Car Classic,1
ID_139VZIE,2010-01-12,2011-01-09,NO GENDER,33,2010-01-12,1,Saloon,Black,Honda,Victoria Island,Lagos,Car Classic,0
ID_13D8KE6,2010-05-16,2011-05-15,Entity,120,2010-05-16,2,JEEP,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_14CT2J3,2010-09-27,2011-06-13,Male,40,2010-09-27,1,Saloon,Green,TOYOTA,Ibadan South West,Ibadan-West,Car Classic,1
ID_14X284U,2010-01-18,2011-01-17,Female,42,2010-01-18,1,Saloon,Blue,TOYOTA,Apapa,Lagos,Car Classic,0
ID_150XAUY,2010-08-05,2011-08-04,Male,43,2010-08-05,2,JEEP,Black,Mitsubishi,Ikeja,Lagos,Car Classic,0
ID_15715AW,2010-10-22,2011-10-21,Male,62,2010-10-22,1,JEEP,As Attached,Lexus,Central,Benue,Car Classic,0
ID_15DJ74K,2010-04-02,2011-04-01,Male,38,2010-04-02,1,Saloon,Gold,Hyundai,Lagos Mainland,Lagos,Car Classic,0
ID_15OH215,2010-03-21,2011-03-20,Male,36,2010-03-21,1,Saloon,Black,Honda,ENUGU EAST,ENUGU-EAST,Car Classic,0
ID_16D6BP5,2010-05-02,2011-05-01,Entity,10,2010-05-02,3,Pick Up,As Attached,TOYOTA,Abuja Municipal,Abuja-Municipal,CVTP,0
ID_16S4IOQ,2010-04-24,2011-02-18,Male,20,2010-04-24,2,JEEP,Black,Ford,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_17L53L6,2010-05-08,2011-05-07,Male,32,2010-05-08,1,Truck,Blue,Mack,Victoria Island,Lagos,CVTP,0
ID_187AKRK,2010-10-28,2011-10-27,Joint Gender,33,2010-10-28,1,JEEP,White,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_18GY66Q,2010-05-14,2011-05-13,Female,44,2010-05-14,1,Saloon,Silver,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_18YZ6U0,2010-11-15,2011-11-14,Male,36,2010-11-15,1,Saloon,Silver,TOYOTA,Surulere,Lagos,Car Classic,0
ID_19PV13X,2010-12-27,2011-12-26,Female,42,2010-12-27,1,JEEP,Black,TOYOTA,Oshodi-Isolo,Oshodi-Isolo,Car Classic,0
ID_1AEALON,2010-04-01,2011-03-31,Male,40,2010-04-01,1,Saloon,Black,TOYOTA,Lagos Island,Lagos,Car Classic,0
ID_1AGD0F5,2010-01-09,2011-01-08,Male,44,2010-01-09,1,JEEP,Black,Mitsubishi,Lekki,Lagos,Car Classic,1
ID_1B6Z6XM,2010-12-06,2011-12-05,Male,37,2010-12-06,1,Saloon,Green,TOYOTA,Ajah,Lagos,Car Classic,1
ID_1BHWDTY,2010-04-09,2011-04-08,Female,40,2010-04-09,1,JEEP,White,TOYOTA,GBAGADA,Benue,Car Classic,0
ID_1BJ5TY2,2010-11-14,2011-11-13,Male,36,2010-11-14,1,Saloon,Grey,Honda,Ketu,Lagos,Car Classic,1
ID_1BSUBQE,2010-01-11,2011-01-10,Male,43,2010-01-11,3,Saloon,Green,Ford,Ondo West,Ondo-West,Car Classic,0
ID_1BTE1WF,2010-04-12,2011-04-11,Male,40,2010-04-12,2,JEEP,Black,Honda,Lagos Island,Lagos,Car Classic,0
ID_1C6719S,2010-04-29,2011-04-28,Male,54,2010-04-29,2,Mini Bus,Blue,TOYOTA,Victoria Island,Lagos,Customized Motor,1
ID_1CMZQIT,2010-02-26,2011-02-25,Male,44,2010-02-26,1,Saloon,Wine,TOYOTA,Festac,Benue,Car Classic,1
ID_1COUM0B,2010-01-08,2011-01-07,Male,45,2010-01-08,1,Saloon,Black,Honda,Lagos Mainland,Lagos,Car Classic,0
ID_1CWOBX4,2010-07-04,2011-07-03,Male,48,2010-07-04,1,Saloon,Black,Peugeot,Agege,Lagos,Car Plus,1
ID_1D5LCZF,2010-09-16,2011-09-15,Male,52,2010-09-16,1,JEEP,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0
ID_1DHMAC1,2010-06-11,2011-06-10,Male,28,2010-06-11,1,Saloon,Silver,TOYOTA,Agege,Lagos,Car Classic,0
ID_1EOHPSF,2010-06-17,2011-06-16,Male,39,2010-06-17,1,Truck,White,Iveco,Victoria Island,Lagos,CVTP,1
ID_1EPDMGM,2010-09-18,2011-09-17,Male,48,2010-09-18,2,Saloon,Silver,TOYOTA,Alimosho,Lagos,Car Classic,1
ID_1FA0PNH,2010-01-28,2011-01-27,Male,36,2010-01-28,2,Saloon,Silver,TOYOTA,Lagos Mainland,Lagos,Car Classic,0
ID_1G7G96S,2010-07-04,2011-07-03,Male,34,2010-07-04,2,Saloon,As Attached,TOYOTA,Ikorodu,Lagos,Car Classic,1
ID_1GU7HBN,2010-05-09,2011-05-08,Female,34,2010-05-09,1,JEEP,Black,Nissan,Awka South,Awka-South,Car Classic,0
ID_1IEJMXT,2010-05-31,2011-05-29,Male,42,2010-05-31,1,JEEP,Black,Lexus,Victoria Island,Lagos,Car Classic,0
ID_1J9II7G,2010-08-30,2011-08-29,Female,44,2010-08-30,1,JEEP,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,1
ID_1JGHYT3,2010-03-07,2011-03-06,Male,45,2010-03-07,1,Saloon,Silver,Hyundai,Asokoro District,Abuja,Car Classic,0
ID_1JL7FO6,2010-11-20,2011-11-19,Female,70,2010-11-20,2,Saloon,Black,Hyundai,Amuwo-Odofin,Amuwo-Odofin,Car Classic,0
ID_1JNAIXM,2010-10-31,2011-10-30,Male,41,2010-10-31,1,Saloon,Black,Honda,Ile-Oluji,Ile-Oluji,Car Classic,0
ID_1JRMQSP,2010-02-26,2011-02-25,Male,38,2010-02-26,1,Saloon,Green,Volkswagen,Obia/Akpor,Obia-Akpor,Car Plus,0
ID_1L7KXZW,2010-07-22,2011-07-21,Female,7,2010-07-22,1,JEEP,Blue,TOYOTA,Ijebu Ode,Ijebu-Ode,Car Classic,0
ID_1LXD5W8,2010-01-06,2011-01-05,Female,61,2010-01-06,1,JEEP,Black,Ford,Lagos Mainland,Lagos,Car Classic,0
ID_1M2240M,2010-07-03,2011-07-02,Male,20,2010-07-03,5,Saloon,Green,Mercedes,Victoria Island,Lagos,Car Classic,0
ID_1MIDZ0K,2010-09-03,2011-09-02,Male,42,2010-09-03,1,JEEP,Black,Ford,Lagos Mainland,Lagos,Car Classic,0
ID_1N10J1D,2010-02-25,2011-02-24,Entity,30,2010-02-25,1,JEEP,Black,Hyundai,Lagos Island,Lagos,Car Classic,1
ID_1NB89Q5,2010-02-23,2011-01-22,Female,39,2010-02-23,1,Saloon,Silver,TOYOTA,Lagos Mainland,Lagos,Car Classic,0
ID_1NDVDIP,2010-04-11,2011-04-10,Female,37,2010-04-11,1,Saloon,Black,Honda,Port-Harcourt,Port-Harcourt,Car Classic,0
ID_1NEBCEH,2010-11-18,2011-11-17,Male,46,2010-11-18,1,Saloon,Blue,Honda,Ifako-Ijaye ,Ifako-Ijaye,CarFlex,0
ID_1NJUN7A,2010-11-29,2011-11-28,Female,52,2010-11-29,1,JEEP,Green,Hyundai,Eti-Osa,Eti-Osa,Car Classic,0
ID_1NZZEZS,2010-01-24,2010-12-31,Female,52,2010-01-24,2,JEEP,Black,Lexus,Lagos Island,Lagos,Car Classic,0
ID_1OHL7WC,2010-05-30,2011-05-28,Female,44,2010-05-30,1,JEEP,As Attached,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_1OR3NCH,2010-04-03,2011-04-01,Male,41,2010-04-03,1,JEEP,As Attached,Lexus,Oshodi,Lagos,Car Plus,0
ID_1OVST5Q,2010-03-18,2011-03-17,Male,66,2010-03-18,1,JEEP,Silver,TOYOTA,Alagbado,Lagos,Car Classic,0
ID_1P275L5,2010-01-10,2011-01-09,Male,43,2010-01-10,1,Saloon,Red,TOYOTA,Ikorodu,Lagos,Car Classic,1
ID_1P6QRRB,2010-01-10,2011-01-09,Female,43,2010-01-10,1,Saloon,As Attached,Kia,Victoria Island,Lagos,Car Classic,1
ID_1PZ90EM,2010-07-30,2011-07-29,Male,50,2010-07-30,2,Saloon,Ash,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_1Q6MEZ9,2010-08-27,2011-02-25,Entity,7,2010-08-27,1,JEEP,Brown,TOYOTA,Ikeja,Lagos,Car Classic,0
ID_1QR4SVV,2010-02-09,2011-02-08,Female,43,2010-02-09,1,Saloon,Black,Kia,Abuja Municipal,Abuja-Municipal,Car Classic,0
ID_1QTCJ0C,2010-05-17,2011-05-16,Female,32,2010-05-17,1,Saloon,Gold,TOYOTA,Surulere,Lagos,Car Classic,0
ID_1TS8S86,2010-05-17,2011-05-16,Male,38,2010-05-17,1,JEEP,Black,Lexus,Victoria Island,Lagos,Car Classic,0
ID_1TSIW3H,2010-05-09,2011-05-08,Male,44,2010-05-09,2,Saloon,As Attached,TOYOTA,ENUGU EAST,ENUGU-EAST,Car Classic,1
ID_1U4820X,2010-06-14,2011-06-13,Male,43,2010-06-14,2,JEEP,Black,Mitsubishi,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_1U77AQW,2010-03-15,2011-03-14,Male,39,2010-03-15,1,Saloon,Grey,TOYOTA,Ikorodu,Lagos,Car Classic,0
ID_1USOPRM,2010-12-20,2011-12-19,Male,63,2010-12-20,1,JEEP,Black,Nissan,Lagos Island,Lagos,Car Classic,0
ID_1UUT46P,2010-06-27,2011-06-26,Male,34,2010-06-27,1,Saloon,Silver,TOYOTA,ISHERI,Benue,Car Classic,0
ID_1VJM18R,2010-03-25,2011-03-24,Male,41,2010-03-25,3,Saloon,Black,Volkswagen,Lekki,Lagos,Car Classic,0
ID_1VM7591,2010-11-12,2011-11-10,Female,20,2010-11-12,3,JEEP,Green,Ford,Victoria Island,Lagos,Car Classic,0
ID_1WP8205,2010-03-28,2011-03-25,Female,44,2010-03-28,1,Saloon,Grey,Nissan,Lekki,Lagos,Car Classic,1
ID_1WRRVHH,2010-05-23,2011-05-22,Male,34,2010-05-23,3,Saloon,Wine,TOYOTA,Ajah,Lagos,Car Classic,1
ID_1YVYDZR,2010-07-17,2011-07-16,Female,46,2010-07-17,2,Saloon,Grey,Honda,Kosofe,Benue,Car Classic,0
ID_1ZM6AAT,2010-10-05,2011-10-04,Female,41,2010-10-05,2,Saloon,Black,TOYOTA,Eti-Osa,Eti-Osa,Car Classic,0
ID_1ZVEHPG,2010-05-16,2011-05-15,Female,37,2010-05-16,2,Saloon,Black,TOYOTA,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_20GFWO2,2010-01-01,2010-12-31,Joint Gender,44,2010-01-01,1,Saloon,As Attached,Honda,Ikeja,Lagos,Car Classic,0
ID_21ANRC4,2010-07-23,2011-07-22,Male,58,2010-07-23,1,JEEP,Black,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_21D1IFT,2010-11-20,2011-11-19,Female,31,2010-11-20,1,Saloon,Red,Kia,Surulere,Lagos,Car Classic,0
ID_227P0O1,2010-05-24,2011-05-23,Male,36,2010-05-24,2,Saloon,Gold,Honda,Surulere,Lagos,Car Plus,0
ID_2282GBA,2010-08-21,2011-02-19,Female,37,2010-08-21,1,Saloon,Black,TOYOTA,Abuja,Abuja,Car Plus,0
ID_22OTNSM,2010-07-30,2011-07-29,Joint Gender,38,2010-07-30,1,Saloon,As Attached,TOYOTA,Victoria Island,Lagos,Car Classic,1
ID_23X554C,2010-12-20,2011-12-19,Male,40,2010-12-20,1,JEEP,Green,Mercedes,Ikeja,Lagos,Car Classic,0
ID_2496Y9X,2010-07-04,2011-07-03,Male,56,2010-07-04,1,JEEP,Black,Jeep,Shagamu,Ogun,Car Classic,0
ID_24BNDUP,2010-07-12,2011-07-11,Male,35,2010-07-12,1,Saloon,Black,TOYOTA,Nnewi North,Nnewi-North,Car Classic,0
ID_2529E17,2010-03-15,2011-03-14,Female,39,2010-03-15,1,JEEP,Ash,Lexus,Surulere,Lagos,Car Classic,0
ID_259XHKT,2010-05-30,2011-05-29,Male,57,2010-05-30,1,JEEP,Black,Ford,Aboh-Mbaise,Aboh-Mbaise,Car Classic,0
ID_25CHSGU,2010-01-08,2011-01-07,Female,42,2010-01-08,1,JEEP,Black,Honda,Kosofe,Benue,Car Classic,0
ID_25TUDUF,2010-06-18,2011-06-17,Male,42,2010-06-18,1,Saloon,Silver,TOYOTA,Lekki,Lagos,Car Classic,1
ID_2652VPJ,2010-06-14,2011-06-13,NO GENDER,26,2010-06-14,1,Saloon,Black,Mercedes,Victoria Island,Lagos,Car Classic,0
ID_268YYWJ,2010-10-14,2011-04-25,Male,40,2010-10-14,1,JEEP,Black,Lexus,Eti-Osa,Eti-Osa,Car Classic,0
ID_274J32T,2010-07-03,2011-04-07,Male,43,2010-07-03,1,JEEP,Black,Mercedes,Victoria Island,Lagos,Car Classic,0
ID_27SJAPW,2010-07-05,2011-07-04,Male,57,2010-07-05,2,JEEP,Black,TOYOTA,Akinyele,Benue,Car Classic,0
ID_27TXJNQ,2010-06-28,2011-06-27,Female,46,2010-06-28,1,JEEP,Silver,Range Rover,Lekki,Lagos,Customized Motor,0
ID_284CGBB,2010-02-26,2011-02-25,Entity,10,2010-02-26,3,JEEP,Black,Honda,Abuja Municipal,Abuja-Municipal,Car Plus,1
ID_28MEXRG,2010-02-19,2011-02-18,Female,41,2010-02-19,1,Saloon,Green,TOYOTA,Abuja,Abuja,Car Classic,0
ID_29A33DB,2010-04-16,2011-04-15,Male,59,2010-04-16,2,Pick Up > 3 Tons,Silver,Honda,Oyo,Oyo,Customized Motor,0
ID_29CPSZQ,2010-03-01,2011-03-01,Male,37,2010-03-01,1,Saloon,Grey,Honda,Yaba,Benue,Car Classic,0
ID_2BEK8QW,2010-04-25,2011-03-09,Male,31,2010-04-25,2,Saloon,Red,TOYOTA,OGBA,Benue,Car Classic,1
ID_2C775KM,2010-05-26,2011-05-25,Male,19,2010-05-26,1,Saloon,Grey,TOYOTA,Victoria Island,Lagos,CarSafe,0
ID_2C7YUAU,2010-07-01,2011-06-30,Female,51,2010-07-01,4,JEEP,Black,Honda,Lagos Mainland,Lagos,Car Classic,0
ID_2CFW65E,2010-05-23,2011-05-22,Female,79,2010-05-23,1,JEEP,Black,TOYOTA,Oredo,Benue,Car Classic,1
ID_2CR4BW9,2010-04-26,2011-04-25,Male,38,2010-04-26,2,Saloon,Black,Mercedes,Ilupeju,Lagos,Car Plus,0
ID_2DL1VCD,2010-04-06,2011-04-05,Male,36,2010-04-06,1,Saloon,Silver,TOYOTA,Surulere,Lagos,Car Classic,0
ID_2DLO8BB,2010-03-07,2011-03-06,Male,38,2010-03-07,1,Saloon,Black,Audi,Eti-Osa,Eti-Osa,Car Classic,0
ID_2DXWUFO,2010-09-23,2011-09-22,Female,32,2010-09-23,1,Saloon,As Attached,TOYOTA,Calabar,Cross-River,Car Classic,0
ID_2EBS770,2010-07-28,2011-07-27,Male,40,2010-07-28,2,Saloon,White,Mercedes,OGBA,Benue,Car Plus,0
ID_2FCKHW9,2010-10-25,2011-07-27,Male,37,2010-10-25,1,Saloon,Green,TOYOTA,Obia/Akpor,Obia-Akpor,Car Classic,0
ID_2FSH3ZL,2010-04-09,2011-04-04,Female,30,2010-04-09,1,Saloon,Green,Honda,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_2FVQ9ZF,2010-02-05,2011-02-04,Male,30,2010-02-05,1,Saloon,White,TOYOTA,Lekki,Lagos,Car Classic,1
ID_2G4R4G7,2010-02-04,2011-02-03,Male,30,2010-02-04,2,Saloon,Black,Honda,Obia/Akpor,Obia-Akpor,Car Classic,0
ID_2GK0PV3,2010-11-08,2011-11-07,Male,44,2010-11-08,1,Saloon,Black,TOYOTA,Ifako-Ijaye ,Ifako-Ijaye,Car Classic,0
ID_2GZPV2U,2010-03-29,2011-03-28,Joint Gender,45,2010-03-29,1,JEEP,Black,Honda,Ibeju/Lekki,Ibeju-Lekki,Car Classic,0
ID_2H55IJT,2010-06-25,2011-06-24,Male,43,2010-06-25,2,JEEP,Black,Lexus,Shomolu,Benue,Car Classic,0
ID_2HASJN3,2010-07-06,2011-07-05,Female,38,2010-07-06,1,Saloon,Green,Hyundai,Port Harcourt,Rivers,Car Classic,0
ID_2HQ06E4,2010-11-07,2011-11-06,Male,43,2010-11-07,2,Saloon,Black,TOYOTA,Abuja Municipal,Abuja-Municipal,Car Classic,0
ID_2HTCFLG,2010-09-24,2011-09-23,Joint Gender,73,2010-09-24,1,JEEP,Black,Honda,Lagos Mainland,Lagos,Car Classic,0
ID_2HTJMUX,2010-04-10,2011-04-09,Female,34,2010-04-10,1,Saloon,Ash,TOYOTA,AKUTE,Benue,Car Classic,0
ID_2IMEOEN,2010-06-06,2011-06-05,Male,42,2010-06-06,1,Saloon,Grey,TOYOTA,Lekki,Lagos,Car Classic,0
ID_2INUI1S,2010-02-27,2011-02-26,Male,46,2010-02-27,2,Mini Bus,Gold,TOYOTA,Victoria Island,Lagos,Car Classic,0
ID_2IOQAKR,2010-02-21,2011-02-20,Male,51,2010-02-21,1,JEEP,Black,TOYOTA,Lagos Mainland,Lagos,Car Classic,0
ID_2JCPR87,2010-11-06,2011-08-06,Male,52,2010-11-06,3,Saloon,As Attached,TOYOTA,Apapa,Lagos,Car Classic,0
ID_2JKAUIG,2010-02-20,2011-02-19,Male,45,2010-02-20,4,JEEP,Black,Honda,Victoria Island,Lagos,Car Classic,0
ID_2KJPXBO,2010-11-22,2011-11-21,Female,52,2010-11-22,1,Saloon,Blue,Honda,Surulere,Lagos,Car Classic,0
ID_2KYYOEE,2010-05-20,2011-05-13,Male,44,2010-05-20,1,JEEP,Black,TOYOTA,Ikeja,Lagos,Car Classic,1
ID_2L0H9US,2010-05-23,2011-05-22,Male,34,2010-05-23,2,JEEP,Black,TOYOTA,Warri Central,Warri-Central,Car Classic,0
ID_2LDU1GQ,2010-02-15,2011-02-14,Joint Gender,47,2010-02-15,1,Saloon,Black,TOYOTA,Lekki,Lagos,Car Classic,0
ID_2LHEZPD,2010-05-10,2011-05-09,Male,35,2010-05-10,1,Truck,Orange,Mercedes,Victoria Island,Lagos,CVTP,0
ID_2M9KI2P,2010-06-17,2011-06-16,Entity,9,2010-06-17,1,Saloon,Blue,TOYOTA,Ifo,Benue,Car Classic,1
